artifact;repository
uk.org.subtrack.imaging:image-servlet;scm:svn:https://imageservlet.svn.sourceforge.net/svnroot/imageservlet/tags/imaging-1.1.0-beta2
ua.in.dej:ClosureTemplateCompiller;scm:git:git@git.dejin.pp.ua:fima/googleclosuretemplatecompiller.git
top.52helper.docker-publish:top.52helper.docker-publish.gradle.plugin;this is a default description
tk.jfree.summer:summer-excel;git@gitee.com:jfree/summer-excel.git
top.yoohome:UTools-core;git@gitee.com:yoohome-repo/UTools.git
se.kth.infosys.ug:standalone-ugclient;scm:git:git@gita.sys.kth.se:Infosys/standalone-ugclient.git
se.jguru.nazgul.core.parser.api:nazgul-core-parser-api;${scm.url}
ru.yoomoney.sdk.auth:signin-api;ssh://git@bitbucket.yooteam.ru/ma/money-auth-android.git
ru.yoomoney.sdk:qr-sdk;scm:git:ssh://git@bitbucket.yooteam.ru/projects/MA/repos/mobile-qr-sdk-sdk.git
se.jguru.nazgul.core.algorithms.tree.model:nazgul-core-algorithms-tree-model;${scm.url}
org.jbox2d:jbox2d-library;scm:svn:https://jbox2d.googlecode.com/svn/tags/jbox2d-2.2.1.1
org.zeroturnaround:spring-jr-plugin;svn+ssh://ngra.de/var/zt-svnroot/jr-root/tags/jr-pom-2.1.1
org.zeroturnaround:struts2-jr-plugin;svn+ssh://ngra.de/var/zt-svnroot/jr-root/tags/jr-pom-2.1.1
org.zeroturnaround:jr-pom;svn+ssh://ngra.de/var/zt-svnroot/jr-root/tags/jr-pom-2.1.1
org.t-io:tio-webpack-parent;svn://gitee.com/tywo45/tio-webpack
org.spincast:spincast-plugins-jackson-xml-tests;git@github.com:spincast
org.spincast:spincast-plugins-css-yuicompressor;git@github.com:spincast
org.spincast:spincast-plugins-dictionary;git@github.com:spincast
org.spincast:spincast-plugins-jackson-xml-parent;git@github.com:spincast
org.spincast:spincast-plugins-js-closurecompiler-tests;git@github.com:spincast
org.spincast:spincast-plugins-gson-parent;git@github.com:spincast
org.spincast:spincast-plugins-templating-addon;git@github.com:spincast
org.smart4j:smart-root;git@git.oschina.net:huangyong/smart-root.git
org.smart4j:smart-plugin-cache;git@git.oschina.net:huangyong/smart-plugin-cache.git
org.sapia:sapia_corus_iop_api;scm:svn:https://sapia.googlecode.com/svn/tags/sapia_corus_interop_parent-2.0
org.reddwarfserver.client:sgs-tutorial-client-dist; https://svn.reddwarfserver.org/svnroot/reddwarf/sgs-java-client/trunk 
org.ow2.frascati.tinfi.examples:frascati-tinfi-sca-helloworld-composite;scm:svn:scm:svn:svn+ssh://svn.forge.objectweb.org/svnroot/frascati/tags/tinfi/tinfi-1.2.1
org.ow2.jonas.launchers:jonas-launcher-for-addons;svn+ssh://svn.forge.objectweb.org/svnroot/jonas/jonas/tags/JONAS_5_3_0
org.ow2.jonas:jonas-discovery-multicast;svn+ssh://svn.forge.objectweb.org/svnroot/jonas/jonas/tags/JONAS_5_3_0
org.ow2.jonas:client-bootstrap;svn+ssh://svn.forge.objectweb.org/svnroot/jonas/jonas/tags/JONAS_5_3_0
org.ow2.jonas:jonas-ejb-2.1;svn+ssh://svn.forge.objectweb.org/svnroot/jonas/jonas/tags/JONAS_5_3_0
org.ow2.jonas:jonas-web-container-tomcat-7.0;svn+ssh://svn.forge.objectweb.org/svnroot/jonas/jonas/tags/JONAS_5_3_0
org.ow2.jonas:jonas-discovery-multicast-ant;svn+ssh://svn.forge.objectweb.org/svnroot/jonas/jonas/tags/JONAS_5_3_0
org.ow2.petals.samples:su-jsr181-provide;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-parent-20.2.6
org.ow2.jonas:jsf-base;svn+ssh://svn.forge.objectweb.org/svnroot/jonas/jonas/tags/JONAS_5_3_0
org.ow2.util:util-plan-fetcher-impl-obr;scm:svn:svn+ssh://albertil@svn.forge.objectweb.org/svnroot/easybeans/tags/OW2_UTIL_1_0_37
